00010000000100000000000001101000001000000100101010000000000000010000000000000000100000010000011000000100000000000001100000100010100000000100100101001000000000000000010000000000010000000000000000000000|27|880|620|3680|4919|03330003433233220010111111222222322211
00000000000100010000000000110001001000001100010100000001010010000000001000001100000000100000100000000001000000000100000000000010100000100000000000000100000000010000000001000010000000000010000010101000|53||840|8564|6420|00003330341211111212110022322233334322333
00111000000010100000011000011010001010001000100000001000100001010010101000001100101000001100001100010001010000101000110001100100001010101000101000101000101001000100001010100000000000101010000000001000|69|061|171||4017|202214202020301100001011121210012222323222110
00001000000110000001000111101110100010000100000100001000000000000010000001000000000001000001001000000000000010010100000111100001000100000000000000001100000000001000010000100000110000001000001000000000|||670|4406|7036|111211011003030033412111222333033332
10000110000001000100010000000000000001000000001000110100000001001000000100010100000001100001000000000100100010000000000000010110001000100100001001000000000001000010000000000000000000000000000000000000|13||030|8951|3125|2212332221113300301103011312121011121022332233
01100011010000000001010001001101000010000010000110000010000001010011010001000001100000111010001000000101000010000100010001100000000100000000000000010100111000001000000000000000010000000000000000000000|34||950100||4324|323411212010000103031211122212222233333
10000000110000000000001000001001000110010011010100011000010100110001100000110001011000010000010000010011010100000101000111000011000011000000100100010000001010001010100001001001000000001010000000000000|29||071211||9831|331103033333022233110011000000303323
10000110000001000100010000000000000001000000001000110100000001001000000100010100000001100001000000000100100010000000000000010110001000100100001001000000000001000010000000000000000000000000000000000000|13||030|8951|3125|2212332221113300301103011312121011121022332233
00000000000000000000000010000010000000001000000101001110010000001000000011000000000100010000100100000110000000100000000100000010100000000100000100010000000000000000010000010000000000000010000000100000||201|841||1801|022131234222323333030000003
00011000010100010000001001100010000010000000000010001000000001000111011000000100000000000001010100000001000000001000000000000000100010000000100100000000010000000000000000000000010000000000001000000000|78||020940|2806|2636|2413111203000313333114333222332232
10100000000001010001000010001000000010000000000100110000010000000010001000000001011000000000010000010000000010100010000000000010100000000000010000000000001000001000000100000100110100000000000010000000|39||470|4645|2139|1141101221200100143233323330221222223233
00001000000001100000000010010010011000001000000000001000000111001100110110000100010011100010000001000000100100101111010000000000010001000000001000000110100100000000001000010010000000001000001000000000|78||641101||3901|2333003333232222211213101121101000003002312122233333330300000
01000000001001001000001011100001100000010001100010000100000000000000000100010000100000000110010001001111000010011000110000010000010101100100000001100000001000000111011000000001000000000000000000101000|37||240880||6220|33411001102121303330030011121121112222232332333333
00001001010101001000100110100001101100000000010001100000010110001000010010001000010001010001100001010110000001000011000101000010000110000100000000000101101001001100000000000100100000000000100010101000|57||940|0462|8227|0110103033030112111223232332233101111112
01000010001000001000000000100010000001000010000001001010000001000000111001000001000001110110100100000010000010000001010000000000000111000000000000000000010100000000001000000100000010000000000000000000|93||000970||5918|343323333300002232211112010034121111222
