01100000001000011000011010100000001000010110000000010110000110010100001010010001001110101000010000110010100111001000000000000000|03||540670||1026|222123220010300101303412112110223222211
00000000000011001100100100001000000100001000000001000000000000000010010000010000000000000010000000010000000010001000000000000000||341|731||4530|1001002223330333003
00000001010000001001000000000000001000100010000100000000100010000000000000100000010000100000100000000000000010000000000000100000|||730|2225|2617|021432323323320300000124111112204222221
00000000000010000000000000000000000010000001010110010010000000001000000001100000000010001101000100000100000000001000100000000000|07|710|650|3224|1321|24132330443222212
00000001000000000110000010100000000110101000000010000000010100000010110001000100000100011001100000011000100000010000101000100000|65||041641||7025|0000221110111102240033300332332221111221
00001110011000000010001001100000001000010011000101000000000100010000001000110001001001101101000011000000110000000000100000000000|66|740|200||1330|2411002232341112212233343033243101121111003002212233330000330003
10000000000011000000010000010000000000000011000000010101100110010000001100000000000001000000000000110000000110010000100010000000|31||250|1764|3631|222333133231011110221303333233000000
01000000100001010011100010010000000011110100000100101000000101001100011100011001010010000101000010001010000011000010000000100000|11||371671||6526|23330030020200100121212112020303300332232200100121212322111223
10010100100000000011100000000000001000110001010000000001010000000001001010100100000010000101100000100010100100000010001000000000|26||220|6727|5705|200000223322122130033303001003412110
10100000000000000100001000100000000010001001100000010101000001000010000101110000100000101000000000010000010100010010100000000000|65||710540|6706|6121|0101100303331101111432322333322221
10010000110000000000001000101000000001010000000000000100000101010110000000101000000000100001100000000100000010000000001000000000|0761||571||1015|222123220010400010113233320022221213101122211100
00100010001000000001100101000000011000100010010001100010000000000001110000001000011000000000000000110011000000001000100000000000|54|450|610||5136|30102400301122121011120030333032222332123
00010010001000001000001000001000110000001100100010010010101000001000000000000001000010000001000001010001000000000000000000000000|57||131111||6623|030000323232233002221110110002223223
10010000000001000001000000100000011001100100000000000101100010001000010000001000110001011000100101001000011010000010000000100000|12|140|010|3765|0601|1423222330333030212222313100111100003333
10010101000010000000101011100100010101000010000010010001000000000000001001010000010100010100000000011000101010000010000010001000|||670430|5146|2137|02341311121200100333131111212222333332332
