01000001000001011010000000100001001001001001010000000100000100010001001000000100100010010000110010100100001101010000000000000000|||261001||7012|000000242222211133300020001001312111211
00011001000000000000000000010000100000000011010000111000010000000000001101010000000000011000000000000001001100001000100000001000|||601321||7300|1110040033033121111042223323130330000033
10100000001010000110110000001000000000000000000110010000000001000010000110000000011010000101010000000100000101000000000000100000|||011321||7625|1023140000303333332221200302212110111102233321
00100001000001000011010110010000000100001000110010010010000001000011011101010001001110010011000001001110100010000000000000000000|||601051||2707|024223222333330300002222121111010010000
00001001100000010110000000010000000100100010000100000001000010000010110000000000000010000001000010001000001001000000001000000000|||141361||7211|003001001132333222221110001101001
00010000100011001010000110101000000100000010000001000010100101000000100001100001110000000001000100100000000000010000000000000000|||661761||1625|2230322320033304001121121210100222232223
01000000000000001000000000000000000001100100000000000000001000000000000000000000000000000000000000000100001011000010000000000000|||451471||1501|3323300
10000000000000000000000010000000100111111001000100001010100011000000110100000000110010101010000000000101000100000000000000000000|||511621||3422|0033311122222233
10000000001100010010100000000000010000011000000000011010110100001100000001100000000001000001010010000011000100010000000000100000|||721331||6721|00000333233233240100011211221223322333
01010000000011000000000011010100110000000011100000101100100100010000100000010000011101010100100001000001100001000000000000001000|||421711||3221|0122111122240003031100330323222211223333
00000000010000000010100011010001010001000100010000100000111110000000101001000001000000101000010010001001011101000000000000100000|||101611||2423|11002022122323233110200110033332223221
00000001100101001001001001000100000000001100000100000000000001000000001001000000110000000001000000110100101001001000000000000000|||011641||6722|3131420033333323240100001001121222232233
01000000000000000001010000010000001100011010010000010111011010000000000010010000001000100001000010100000001000011000000000000000|||071561||7024|00130011011212112000033323323322122111
01000100001001001000100000001000100010000000000010000001011100011000110000000100001000000001110010101000000000011000101000000000|||001511||2735|23232333223100122011110440300323332323
00010001110001000001000000000100101001100000000001000000000111000110111100001000100000101000010000000001000011000000000010000000|||671301||1211|21212222330030022211110110000
01000010000011000110000000000100001100001000000000000000000000010000000000000001110000110000000000110001000000001000001000100000|||571051||3416|23233232010003010012110122110022232221
00100001000000000000000111000000001000000000000000000000000000000010100001000000000000000100000000000000000110000000000000100000|||421501||0533|202422223333030
01100001100000000000000000100001110001100110010000010000010000001010010100000000000110100001100001001000011000000000001000000000|||441741||6320|230033001121121124000300313322212232333
10000000000000000000100011000000000000100000000000000000000000000000000000000000000000000000010000001000100010000000000010000000|||101211||0334|112240222233323300
10000001100010000000100100001000001110001001000000000010100000000001000100000100000000001001100000001100000010000010000000000000|||061111||3031|1212232001001310101022121220003033033233
00100101001100000001100000001000010001001000000101100000000010000010001001000001000000010001010010001000100001001000101000001000|||211231||2604|002200222221233231431011240030000330
00000101011100001010100000100000001001100110000001000010000000000001010000000000010000010010100000001000001000000010000000000000|||251561||5025|1210100330001111433332222321212111
00000110100110000000110010100001100110010001010000000101000011001000100010000000100001000110010100110100001001000000000000000000|||471671||7112|30000200001112130332212322111101100
00000000000000001000000000011000100010100111000010010100000101000100001110001100100000101010100100001000010000001010001000100000|||111501||4235|222131010003000333121111021223332322330
10010000110100000100100000000000100000000100000001000000000000000000000100000101010001000001100001000000001000000000101000000000|||211701||1333|11103122223232312110030003330330421223
00010000000001000000100000001100001100000010100010100000000011000000000100000000000000001000000000000000000010000000000000100000|||361151||6624|33033303020000111111122220004222232323
